Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
31-MAR-2022,14925.55,14963.4,14871,14894.5,1815251648,57574.09
30-MAR-2022,14880.7,14924.75,14823.55,14896.9,2148589897,63379.17
29-MAR-2022,14744.05,14773.15,14689.6,14761.9,1722624126,48744.91
28-MAR-2022,14686.25,14694.85,14515.65,14675.85,1547370762,50067.99
25-MAR-2022,14763.9,14768.3,14590.45,14651.7,1396675558,48378.72
24-MAR-2022,14598.75,14744.7,14595.7,14699.35,1609080043,51907.08
23-MAR-2022,14806.6,14833.3,14660.45,14695.15,1679968615,53305.49
22-MAR-2022,14613.1,14738.15,14492.25,14724.05,1520859061,53604.32
21-MAR-2022,14773.05,14789.85,14590.7,14602.35,1498216639,50811.88
17-MAR-2022,14667.2,14756.55,14644.75,14721.7,2600172827,76084.9
16-MAR-2022,14392.55,14491.45,14369.5,14481.8,1284516904,46978.09
15-MAR-2022,14408.75,14433.75,14130.9,14215.85,1766275769,60067.46
14-MAR-2022,14248.9,14389.35,14189.1,14374.6,1450414963,52485.63
11-MAR-2022,14145.5,14268.3,14098.7,14237.15,1529739344,52279.33
10-MAR-2022,14313.2,14316.8,14079.85,14189,1946810503,67367.68
09-MAR-2022,13786.4,14037.65,13721.95,13979.6,1863587266,62669.26
08-MAR-2022,13504.75,13720.1,13423.55,13706.75,1986681475,66754.87
07-MAR-2022,13594.75,13637.5,13438.3,13564.25,2132125281,65001.68
04-MAR-2022,14020.2,14075,13828.45,13893.15,2163358448,63248.32
03-MAR-2022,14327.7,14364.6,14094.3,14135.95,1981292495,59287.17
02-MAR-2022,14161.7,14265.5,14104.75,14199.8,1960825495,66290.37
28-FEB-2022,14047.75,14320.95,13928.8,14307.95,2039609404,62504.81
25-FEB-2022,14018.1,14247.05,14007.7,14187.4,2082555257,54706.24
24-FEB-2022,14055.85,14180.85,13747.45,13775.7,2896660329,75653.9
23-FEB-2022,14581.05,14629.05,14482.3,14506.95,1359046090,38951.88
22-FEB-2022,14269.45,14527.2,14267.6,14489.05,1789782510,50396.16
21-FEB-2022,14638.35,14733.1,14498.2,14597.1,1685206945,41360.43
18-FEB-2022,14711.3,14815,14692.65,14710.7,1107629373,33912.69
17-FEB-2022,14857.1,14895.65,14725.05,14772.05,1173686803,39296.63
16-FEB-2022,14876.65,14935.6,14756.5,14789.9,1468717194,44891.86
15-FEB-2022,14469,14822.75,14348.4,14805.55,1813119349,52618.37
14-FEB-2022,14606.55,14638.65,14370.7,14400.4,1733846850,52734.06
11-FEB-2022,14988.95,14990.6,14862.05,14891.3,1399113736,47828.54
10-FEB-2022,15084.35,15134.1,14972.35,15112.2,1675851554,48672.97
09-FEB-2022,14942.75,15026.5,14925.05,15016.35,1413173419,44543.31
08-FEB-2022,14926.5,14955.25,14689.15,14857.05,1793708441,52368.72
07-FEB-2022,15065.05,15126.65,14796.2,14870.6,1777758185,50492.38
04-FEB-2022,15159.6,15188.4,15048.35,15085.45,1700283517,48664.68
03-FEB-2022,15289.15,15296.35,15101,15135.9,1718538295,49653.03
02-FEB-2022,15218.25,15304.6,15201.45,15293.35,1979267946,52109.16
01-FEB-2022,15073.15,15138.2,14850.3,15116.2,2290902168,62980.23
31-JAN-2022,14894.75,14975.8,14857.55,14921.45,1701833595,53886.98
28-JAN-2022,14773.05,14952.15,14701.6,14723.25,2108354405,62900.16
27-JAN-2022,14671.7,14735.75,14489.8,14679.7,2247371180,72167.81
25-JAN-2022,14577.55,14853,14410.9,14832.2,2059618896,64499.34
24-JAN-2022,15155,15165.4,14577.15,14712.05,2092790883,62768.43
21-JAN-2022,15252.9,15294.7,15069.05,15180.8,1624156698,58204.78
20-JAN-2022,15464.45,15486.15,15280.55,15361.1,1452364959,54475.27
19-JAN-2022,15580.4,15580.4,15403.2,15472.5,1809243947,57601.18
18-JAN-2022,15819.45,15834.2,15546.65,15573.1,1865876457,53124.18
17-JAN-2022,15731.35,15794.95,15718.25,15781.25,1676707252,51494.76
14-JAN-2022,15667.95,15754.45,15619.55,15730.4,1578334741,50858.15
13-JAN-2022,15710.3,15730.95,15629.45,15721.05,1886097035,57199.86
12-JAN-2022,15627.05,15678.7,15595.65,15667.9,2465729163,52965.13
11-JAN-2022,15497.5,15559.1,15462.05,15530.55,3859562035,53943.53
10-JAN-2022,15427.65,15504,15400.55,15495.55,1742165362,48504.71
07-JAN-2022,15333.45,15418.4,15255.45,15348.55,1831250781,50557.6
06-JAN-2022,15275.75,15315.5,15197.1,15290.1,1835765443,49115.53
05-JAN-2022,15329.75,15410.6,15264.85,15396.4,1880757237,52030.71
04-JAN-2022,15260.9,15333.6,15168.15,15318.75,1992560514,45907.56
03-JAN-2022,15030.5,15220.05,15028.55,15204.6,1711743989,39006.14
31-DEC-2021,14879.25,15022.35,14877.85,14996.2,1818214463,36729.15
30-DEC-2021,14856.1,14894.65,14815,14842.05,1794991791,46066.58
29-DEC-2021,14866.2,14922.35,14835.35,14863.4,1573250586,34493.89
28-DEC-2021,14809.5,14880.85,14805.3,14867.85,1185348855,35448.73
27-DEC-2021,14617.15,14745.55,14515.25,14727.6,1256619005,33826.13
24-DEC-2021,14813.9,14819.2,14605.05,14664.8,1376801961,34558.54
23-DEC-2021,14738.3,14779.3,14708.7,14751.45,1248384517,37049.97
22-DEC-2021,14542.7,14652.35,14522.55,14639.75,1386347290,40578.9
21-DEC-2021,14423.7,14584.95,14386.45,14461.4,1649593618,44478.42
20-DEC-2021,14523.5,14533.8,14128.15,14300.7,2107251611,55045.21
17-DEC-2021,14952.75,14966.1,14658.5,14673.15,1914338443,63562.24
16-DEC-2021,15072.95,15078.85,14891.6,14936.45,1656250900,44948.96
15-DEC-2021,15050.1,15075.7,14936.6,14953.1,1508050662,43695.75
14-DEC-2021,15005.5,15072,14947.95,15043.25,1809018566,49830.59
13-DEC-2021,15258.1,15280,15052.9,15064.25,2044804382,52978.35
10-DEC-2021,15103.65,15168.8,15069.8,15155,2436218232,47446.05
09-DEC-2021,15126.55,15141,15023.2,15126.6,3114038725,48712.33
08-DEC-2021,14945.3,15084.5,14941.3,15073.25,1722666422,49618.26
07-DEC-2021,14733.25,14881.75,14683.25,14834.5,2053524776,47385.25
06-DEC-2021,14876.25,14882.15,14599.35,14618.35,2894531091,44148.17
03-DEC-2021,15002.65,15054.95,14845.25,14856.3,2448004269,53798.84
02-DEC-2021,14808.8,14990.3,14786.65,14973.95,2101455128,52120.85
01-DEC-2021,14743.7,14822.5,14694.3,14784.7,2309466860,52490.37
30-NOV-2021,14662.05,14912.75,14608.6,14648.35,2682400787,103561.49
29-NOV-2021,14683.05,14749.5,14402.1,14656.45,2224592537,61234.51
26-NOV-2021,14990.85,15012.1,14674.75,14707.2,2217882330,69530.97
25-NOV-2021,15057.6,15166.65,14984.7,15150.6,1839959382,51673.7
24-NOV-2021,15159.95,15199.2,14997.3,15046.5,1857315541,52720.39
23-NOV-2021,14876,15137.15,14820.4,15107.8,2118937938,67264.13
22-NOV-2021,15333.9,15339.65,14846.7,14976.7,2078909437,63655.31
18-NOV-2021,15461.5,15502.6,15239.8,15302.55,1715283574,59658.4
17-NOV-2021,15487.15,15560.75,15436.95,15454.95,1356329811,55152.96
16-NOV-2021,15613.1,15626.65,15492.6,15525.4,1497928101,56650.21
15-NOV-2021,15625.75,15664.45,15558.05,15592.6,1310851988,49828.85
12-NOV-2021,15504.35,15591.45,15429.6,15579,1520464318,52851.49
11-NOV-2021,15497.25,15499.9,15351.2,15411.1,1493771490,49991.79
10-NOV-2021,15492.05,15562.45,15458.5,15521.1,1877000269,56292.53
09-NOV-2021,15542.05,15579.5,15487.7,15541.95,2039428417,62548.55
08-NOV-2021,15474.25,15535.05,15313.2,15520.15,1750778815,64939.04
04-NOV-2021,15380.95,15396.85,15363.35,15376.9,369458204,9759.75
03-NOV-2021,15367.7,15397.3,15212.15,15282.75,1590805645,56962.45
02-NOV-2021,15344.35,15373.7,15278.7,15314.65,1699103912,57540.93
01-NOV-2021,15179.4,15318.15,15111.3,15302.7,1841726352,58879.91
29-OCT-2021,15163.5,15266.4,14961.5,15086.9,2323658555,73367.85
28-OCT-2021,15475.4,15475.45,15148.2,15190.85,2387292812,71438.37
27-OCT-2021,15541.75,15583.2,15454.1,15484.35,1908733604,64931.2
26-OCT-2021,15360.35,15528.9,15356.5,15499.65,2377318370,68850.99
25-OCT-2021,15492,15498.4,15181.6,15334.35,2423972413,75201.86
22-OCT-2021,15537.05,15600.45,15328.9,15399.7,2658091327,73931.37
21-OCT-2021,15666.6,15667,15373.45,15487.65,2521990001,79464.32
20-OCT-2021,15768,15776.35,15497,15568.65,2611891297,87389.01
19-OCT-2021,16003.95,16004.45,15716.7,15757.85,2962494793,96625.16
18-OCT-2021,15924.1,15949.2,15871.4,15886.15,3729469416,95130.93
14-OCT-2021,15733.3,15781,15710.1,15769.25,2579631708,91093.46
13-OCT-2021,15573.6,15660.2,15546.85,15631.4,3027680048,83860.64
12-OCT-2021,15426.6,15493.25,15371.8,15481.9,2776371650,69043.5
11-OCT-2021,15374.5,15497.8,15356.55,15428,2171060075,70637.79
08-OCT-2021,15375.3,15402.7,15317.4,15365.2,1859852067,66926.76
07-OCT-2021,15274.65,15335.95,15251,15290.15,2134120586,66161.71
06-OCT-2021,15328.95,15349.2,15109.1,15134.55,2579412312,68005.1
05-OCT-2021,15171.25,15287.7,15150.5,15280.1,2528673224,62408.13
04-OCT-2021,15094.4,15195.2,15075.25,15181.15,2050818357,60033.98
01-OCT-2021,14994.8,15031.55,14932.75,15013.95,2547877344,58660.53
30-SEP-2021,15109.7,15137.55,15026.95,15052.65,3246246370,67479.32
29-SEP-2021,15023.3,15141.05,14985.4,15086.95,3074300544,77468.97
28-SEP-2021,15235.1,15239.65,14967.05,15095.6,2245338421,63524.23
27-SEP-2021,15261.35,15262.65,15139.6,15189.05,1855011060,61300.47
24-SEP-2021,15274.1,15305.2,15160.45,15191.95,2678377777,71613.59
23-SEP-2021,15097.1,15219.35,15085.55,15205.45,2046704624,66567.45
22-SEP-2021,14977.3,15030.85,14950.35,14990.55,2024443497,61036.47
21-SEP-2021,14856.85,14959.45,14734.7,14946.3,2228665043,61904.7
20-SEP-2021,14907.5,15047.65,14800.85,14826.75,2432340465,57594.55
17-SEP-2021,15169.9,15207.7,14979.35,15027.25,4288419796,96706.64
16-SEP-2021,15050.85,15115.35,15012.25,15104.9,5345605915,67308.24
15-SEP-2021,14927.95,15028.65,14921.1,15020.55,3135906154,64864.98
14-SEP-2021,14917.05,14935.55,14881.55,14904.35,2920040073,56376.19
13-SEP-2021,14839.8,14865.75,14769.1,14852.2,1673709928,45569.06
09-SEP-2021,14780.6,14844.4,14774.15,14836.45,1826184489,43854.56
08-SEP-2021,14802.85,14825.1,14716.65,14803.6,2677527502,53492.66
07-SEP-2021,14834.95,14852.25,14713.55,14784.25,2369606925,51521.42
06-SEP-2021,14827.05,14843.4,14783.45,14805.85,1605956365,50194.19
03-SEP-2021,14724.7,14770.85,14682.2,14759.3,2454372126,55570.23
02-SEP-2021,14571.3,14692,14548.5,14684.35,2204479240,55492.82
01-SEP-2021,14611.65,14640.6,14527.05,14551.35,1842266019,58592.84
31-AUG-2021,14421.3,14571.8,14393.5,14555.9,1939879159,76252.46
30-AUG-2021,14257.4,14411.95,14250.55,14397.9,1418191928,52768.5
27-AUG-2021,14126.3,14203.95,14064.1,14192.5,1322925518,47465.23
26-AUG-2021,14106.45,14147.05,14074.9,14106.95,1491898368,48753.1
25-AUG-2021,14103.1,14145.45,14070.55,14093.6,1376531468,48182.66
24-AUG-2021,13986.95,14075.9,13942.5,14063.25,1610603086,53255.51
23-AUG-2021,14063.35,14063.5,13841,13930.55,2034607070,55351.48
20-AUG-2021,13951.5,14047.9,13910.2,13943.95,1890113076,61332.79
18-AUG-2021,14171.05,14186.5,14072,14095.55,1753353294,53018.39
17-AUG-2021,14063.9,14123.6,14010.9,14113.1,1569484678,57382.99
16-AUG-2021,14063.75,14087.4,14016.75,14070.8,1309598249,44544.58
13-AUG-2021,13997.75,14079.65,13991.7,14065.3,1557284734,54314.73
12-AUG-2021,13901.1,13979.85,13884.05,13971.95,1493031479,48262.78
11-AUG-2021,13924.05,13938.6,13716.7,13876.55,1971251665,53701.03
10-AUG-2021,13957.6,13996.85,13809.45,13892.75,1935174359,53300.35
09-AUG-2021,13993.6,14007.55,13870.25,13935.05,2356923244,48193.83
06-AUG-2021,13996.6,14029.8,13946.05,13954.65,2805276830,55850.76
05-AUG-2021,14000.9,14003.1,13891.7,13981.55,3957455172,60441.22
04-AUG-2021,13998.05,14045.05,13944.1,13969.35,3150952388,67736.4
03-AUG-2021,13840.6,13950.25,13817.9,13939.2,2412772263,59571.47
02-AUG-2021,13759.8,13789.9,13732.85,13783.7,1946413673,56706.78
30-JUL-2021,13671.55,13739.7,13635.45,13664.25,2157998197,67848.1
29-JUL-2021,13631.5,13668.9,13608.9,13643.75,2106240301,63057.64
28-JUL-2021,13631.55,13631.55,13409.1,13579.15,2019384906,58034.77
27-JUL-2021,13715.15,13740.9,13569.35,13610.3,1838503854,59056.91
26-JUL-2021,13692.2,13731.1,13648.45,13675.1,1796617659,50549.89
23-JUL-2021,13711.25,13728.4,13629.65,13687,2597135759,52167.58
22-JUL-2021,13592.4,13678.95,13590.3,13670.2,2171789245,57314.59
20-JUL-2021,13594.85,13614.75,13437.15,13495.6,1799075026,53438.44
19-JUL-2021,13624.3,13693.35,13573.65,13619.85,2356465289,53110.52
16-JUL-2021,13756.75,13761.1,13706.5,13742.35,2078937086,55661.88
15-JUL-2021,13686.35,13738.6,13677.35,13720.35,1622455717,53743.55
14-JUL-2021,13638.3,13678.8,13606.35,13661.1,1353870470,49268.75
13-JUL-2021,13633.1,13635.55,13580.45,13628.85,1537130204,46487.8
12-JUL-2021,13603.6,13620.15,13512.7,13549,1809425539,46644.61
09-JUL-2021,13513.5,13545.65,13470.2,13527.95,1565534299,44766.74
08-JUL-2021,13627.7,13660.85,13488.1,13532.7,1869770413,48147.66
07-JUL-2021,13577.5,13644.45,13542.05,13631,1791166691,51218.9
06-JUL-2021,13579.15,13661.9,13561.75,13574.15,2228290078,57235.09
05-JUL-2021,13558.4,13593.5,13536.9,13585.75,1986517476,47617.14
02-JUL-2021,13480.3,13506.1,13435.25,13494.45,1807176403,51592.52
01-JUL-2021,13504.7,13505.05,13441.55,13454.1,2051043540,45774.33
30-JUN-2021,13513.25,13552.95,13462.2,13473.55,2225442810,50622.76
29-JUN-2021,13535.55,13567.8,13461.25,13481.95,2121753668,54035.18
28-JUN-2021,13589.75,13589.85,13515.05,13533.05,2291881613,47878.33
25-JUN-2021,13512.15,13549.1,13471,13539.4,2381374446,55701.55
24-JUN-2021,13460.8,13486.75,13434.5,13468.25,1928526726,55307.22
23-JUN-2021,13570.1,13570.2,13412.45,13423.35,2587101997,57257.29
22-JUN-2021,13543.4,13589.65,13473.35,13491.1,2643719995,57648.96
21-JUN-2021,13240.9,13468.8,13221.05,13456.1,2605848877,53661.41
18-JUN-2021,13471.9,13474.95,13155.55,13386.55,3643105417,88605.41
17-JUN-2021,13405.9,13520.9,13372.4,13425.15,2299073612,63158.73
16-JUN-2021,13595.1,13621.65,13487.15,13510.6,2247315219,57685.75
15-JUN-2021,13601.35,13634.35,13587.75,13607.8,2288096967,57941.46
14-JUN-2021,13551.75,13565,13342.4,13554.15,2886671368,68327.79
11-JUN-2021,13577.05,13601,13513.85,13563.85,2690887678,60782.83
10-JUN-2021,13458.65,13524.85,13431.25,13517.2,2587040404,60361.37
09-JUN-2021,13532.2,13569.75,13333.85,13396.4,3364690736,75642.56
08-JUN-2021,13510.05,13513.05,13420.55,13496.55,2765882510,65971.98
