"Index Name","Date","Open","High","Low","Close"
"NIFTY 500","28 Mar 2018","8940.20","8953.90","8899.00","8912.10"
"NIFTY 500","27 Mar 2018","8968.35","8995.35","8938.90","8978.10"
"NIFTY 500","26 Mar 2018","8795.05","8923.05","8765.85","8914.35"
"NIFTY 500","23 Mar 2018","8765.65","8815.55","8744.50","8800.80"
"NIFTY 500","22 Mar 2018","8961.95","8991.70","8897.30","8904.00"
"NIFTY 500","21 Mar 2018","8970.85","9015.65","8929.65","8949.10"
"NIFTY 500","20 Mar 2018","8854.00","8945.35","8847.80","8920.45"
"NIFTY 500","19 Mar 2018","9026.40","9032.30","8879.30","8894.20"
"NIFTY 500","16 Mar 2018","9127.80","9128.50","8991.85","9004.45"
"NIFTY 500","15 Mar 2018","9151.35","9177.95","9122.65","9133.90"
"NIFTY 500","14 Mar 2018","9126.90","9158.20","9091.45","9151.55"
"NIFTY 500","13 Mar 2018","9102.70","9194.35","9096.20","9157.90"
"NIFTY 500","12 Mar 2018","9053.70","9130.40","9034.25","9121.75"
"NIFTY 500","09 Mar 2018","9032.55","9051.40","8972.50","8986.40"
"NIFTY 500","08 Mar 2018","8992.40","9021.65","8898.90","9000.70"
"NIFTY 500","07 Mar 2018","9025.10","9029.95","8924.70","8936.85"
"NIFTY 500","06 Mar 2018","9191.45","9214.45","9013.45","9039.80"
"NIFTY 500","05 Mar 2018","9202.10","9202.20","9104.15","9136.10"
"NIFTY 500","01 Mar 2018","9254.40","9297.40","9215.80","9225.35"
"NIFTY 500","28 Feb 2018","9244.50","9290.20","9213.85","9261.90"
"NIFTY 500","27 Feb 2018","9360.90","9374.90","9289.25","9302.25"
"NIFTY 500","26 Feb 2018","9291.05","9338.20","9280.80","9332.65"
"NIFTY 500","23 Feb 2018","9165.45","9257.50","9157.10","9251.35"
"NIFTY 500","22 Feb 2018","9133.90","9160.60","9119.30","9138.50"
"NIFTY 500","21 Feb 2018","9205.10","9205.40","9129.35","9167.60"
"NIFTY 500","20 Feb 2018","9171.20","9207.35","9135.70","9151.05"
"NIFTY 500","19 Feb 2018","9265.00","9265.25","9091.75","9159.95"
"NIFTY 500","16 Feb 2018","9369.25","9386.00","9212.20","9235.60"
"NIFTY 500","15 Feb 2018","9360.45","9399.40","9293.35","9323.60"
"NIFTY 500","14 Feb 2018","9397.80","9399.80","9292.85","9326.70"
"NIFTY 500","12 Feb 2018","9314.30","9362.30","9296.60","9348.45"
"NIFTY 500","09 Feb 2018","9167.00","9272.05","9155.00","9251.10"
