Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
31-MAR-2023,14442.3,14577.15,14438.8,14557.85,1744273854,50435.82
29-MAR-2023,14218.6,14377.3,14218.6,14345.6,1955709926,52512.64
28-MAR-2023,14289.95,14300.2,14177.5,14211.8,1461524983,39550.8
27-MAR-2023,14306.6,14348.95,14238.9,14262.7,1481559192,38081.34
24-MAR-2023,14409,14434.1,14257.5,14279,1396048977,41274.87
23-MAR-2023,14422.95,14490.65,14388.3,14403.6,1162234148,37893.89
22-MAR-2023,14470.05,14497.15,14432.2,14460,1293203459,33640.63
21-MAR-2023,14379.05,14428.15,14339.95,14411.3,1329388698,40872.29
20-MAR-2023,14389.85,14393.6,14196.5,14317.1,1617972972,42305.3
17-MAR-2023,14436.25,14464.9,14327.75,14420.85,2335798763,60463.18
16-MAR-2023,14328.5,14387.65,14189,14330.35,2166814560,48027.18
15-MAR-2023,14458.15,14494.35,14298.15,14320.3,1386568459,41631.2
14-MAR-2023,14462,14499.2,14306.8,14358.55,1541520782,47108.03
13-MAR-2023,14681.55,14752.85,14420.5,14454.45,1820012428,43378.59
10-MAR-2023,14695.05,14699.35,14593.4,14679.85,1254042243,38335.61
09-MAR-2023,14947.05,14952.85,14788.9,14803.95,1337603327,41438.99
08-MAR-2023,14843.1,14932.4,14791.25,14921.95,1383638204,44963.87
06-MAR-2023,14848.35,14942.05,14843.7,14881,1618596616,47459.89
03-MAR-2023,14686.25,14813.05,14676.05,14774.75,1831401257,45660.5
02-MAR-2023,14654.8,14668.4,14575.95,14587.25,1559920347,40737.52
01-MAR-2023,14557,14675.05,14550.1,14664.85,1609704691,39735.71
28-FEB-2023,14550,14584.45,14476,14518.75,2038552537,64098.28
27-FEB-2023,14600.9,14609.4,14465.7,14548.7,1359792443,36215
24-FEB-2023,14723.4,14741.95,14598.95,14630.45,1443460554,35586.7
23-FEB-2023,14715.2,14740.8,14599.1,14666.75,1738279069,41105.58
22-FEB-2023,14854.15,14861.05,14674.25,14701.9,1445331515,36990.62
21-FEB-2023,14982,14992.7,14894.15,14913.95,1362135509,35313.01
20-FEB-2023,15023.45,15036.45,14920.7,14938.65,1487039164,34966.37
17-FEB-2023,15036.25,15077,14966.3,15003.95,1183806448,36641.84
16-FEB-2023,15098.45,15135.35,15060,15083.75,1262808878,43769.1
15-FEB-2023,14939,15053.55,14923.25,15039.65,1261216093,40630.65
14-FEB-2023,14936.2,14988,14879.35,14968.9,1317351612,39912.76
13-FEB-2023,15011.35,15022.55,14875.85,14900.5,1389238443,41233.12
10-FEB-2023,14992.65,15031.1,14969.55,15015.85,1567464644,40692.9
09-FEB-2023,15036.85,15054.75,14956.9,15030.1,1569293387,45739.53
08-FEB-2023,14927.55,15046.7,14924.05,15028.3,1730153256,48124.92
07-FEB-2023,14950.15,14970.8,14845.95,14902.2,1680002570,48118.93
06-FEB-2023,14939.4,14954.3,14870.55,14934.15,2178288360,43661.23
03-FEB-2023,14904.1,14972.15,14746.45,14962.35,2022624131,58230.16
02-FEB-2023,14760.35,14887.45,14698.4,14839.4,2056905928,64139.7
01-FEB-2023,15054.8,15154.1,14622.65,14847.65,2638250569,74835.39
31-JAN-2023,14906.45,14962.95,14787.85,14935.5,2135709658,63727.77
30-JAN-2023,14807.5,14955.15,14675.05,14854.2,2176673692,65863.7
