Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
31-MAR-2021,12376.8,12376.8,12298.7,12313.7,2008833931,53428.44
30-MAR-2021,12256,12404.25,12249,12387.9,2336893708,63039.57
26-MAR-2021,12134.75,12191.95,12072.2,12148.9,2170641369,53189.01
25-MAR-2021,12218.8,12221.55,11939,11993.3,2802712837,63726.51
24-MAR-2021,12346.05,12390.6,12183.7,12197.2,1908995087,53495.21
23-MAR-2021,12375.4,12462,12340.3,12417.3,1926922396,57635.9
22-MAR-2021,12322.75,12360.45,12235.6,12338.6,1849339040,53789.96
19-MAR-2021,12096.8,12342.3,11951.4,12314.5,3133136265,87306.66
18-MAR-2021,12426.9,12449.85,12100.6,12174.45,2309132011,58593.43
17-MAR-2021,12540.15,12546.55,12301.15,12319.9,1936540698,53994.72
16-MAR-2021,12564.8,12601.05,12487.8,12512.7,1862226535,52664.38
15-MAR-2021,12623.05,12624.3,12364.95,12510.15,2056747402,53137.8
12-MAR-2021,12806.15,12816.15,12534.45,12593.9,2326915273,61401.39
10-MAR-2021,12705.1,12722.6,12627.8,12691.35,1672894209,48878.51
09-MAR-2021,12638.4,12679.65,12494.6,12617.2,2352080501,65364.08
08-MAR-2021,12607.05,12682.55,12534.75,12558.95,2155684470,55054.02
05-MAR-2021,12621.95,12697.05,12478.45,12539,2792554205,70212.48
04-MAR-2021,12607.55,12771.1,12589.75,12688.85,3126112147,75056.1
03-MAR-2021,12635.85,12781.85,12603.05,12764.8,2957966799,72981.56
02-MAR-2021,12458.35,12548.2,12385.95,12519.4,2938298409,68999.03
01-MAR-2021,12316.3,12395.8,12271.85,12368.3,2891251630,61715.18
26-FEB-2021,12401.05,12449,12134.5,12181.4,4142697769,109138.34
25-FEB-2021,12543.5,12615.4,12533.3,12567.85,3273662422,79703.83
24-FEB-2021,12299.55,12470.2,12294.85,12455.2,1820862847,42589.87
23-FEB-2021,12294.3,12356.45,12190.65,12263.7,2791764312,71585.98
22-FEB-2021,12457.25,12471.65,12174.6,12212.55,2744803727,69475.12
19-FEB-2021,12540.85,12592.5,12360.7,12438.8,4127496879,78774.5
18-FEB-2021,12633.3,12655.4,12535.65,12565.7,3895779526,76252.99
17-FEB-2021,12631.1,12669.85,12561.55,12597.45,3441423674,72214.73
16-FEB-2021,12679.65,12724.55,12580.95,12647.2,2735370962,72223.05
15-FEB-2021,12592,12648.7,12576.7,12632.05,2190272365,64069.92
12-FEB-2021,12531.35,12571,12443.05,12508.55,2429004433,67132.57
11-FEB-2021,12433.5,12522.45,12426.15,12514.1,2377558184,61968.81
10-FEB-2021,12452.95,12490.45,12347.1,12452.45,2382581258,74942.94
09-FEB-2021,12487.6,12545.45,12396.2,12434.2,2929109749,77437.76
08-FEB-2021,12389.5,12469.3,12376.65,12441.3,2547801915,72771.16
05-FEB-2021,12345.25,12386.25,12247.45,12279.85,3526707080,90707.5
04-FEB-2021,12184.65,12297.55,12140.85,12285.85,3399706152,86049.57
03-FEB-2021,12139.7,12234.7,12005.4,12174.05,3076713409,85394.64
02-FEB-2021,11921.7,12102.6,11916.65,12053.25,3115606209,93755.74
01-FEB-2021,11396.9,11806.45,11304,11770.15,3206044317,84261.66
29-JAN-2021,11549.85,11568.9,11273.55,11302.4,2755193206,81015.99
28-JAN-2021,11419.3,11503.2,11365.85,11442.55,2946474453,68536.56
27-JAN-2021,11744.3,11744.3,11511.55,11546.35,2600763378,68325.45
25-JAN-2021,11951.1,11968.4,11719.55,11743.7,2692961157,71357.07
22-JAN-2021,12020.3,12053.1,11842.4,11854.5,3039832960,80443.11
21-JAN-2021,12154.7,12167.95,11959.6,12015.95,2731312071,77392.53
20-JAN-2021,12002.1,12092.05,11987.6,12078.35,2407564639,62345.33
19-JAN-2021,11851.15,11993.3,11849.15,11981.85,2212472618,58850.48
18-JAN-2021,11943.65,11948.2,11733.35,11776.2,2837637732,68505.23
15-JAN-2021,12078.6,12100.85,11864.05,11931.2,3917209536,70925.19
14-JAN-2021,12043.4,12081.55,11976.15,12069.5,2480285265,66898.02
13-JAN-2021,12123,12133.4,11925,12041.1,3837512381,81235.23
12-JAN-2021,12000.8,12083.7,11969.75,12058.35,3495364856,77259.12
11-JAN-2021,12024.65,12024.65,11921.75,12006.5,2406296224,67129.53
08-JAN-2021,11865.5,11940.45,11841.85,11925.6,2872214697,70912.11
07-JAN-2021,11833.6,11834.4,11753.8,11766.1,2917179475,68027.09
06-JAN-2021,11806.75,11817.1,11640.15,11737.9,3205480948,72306.74
05-JAN-2021,11647.6,11780.8,11613.5,11767,2858312752,62437.46
04-JAN-2021,11651.5,11703.25,11542.15,11691.8,3238422803,58243.99
01-JAN-2021,11535.85,11594.85,11532.6,11574.85,2196136531,37078.27
31-DEC-2020,11508.55,11548.35,11483.55,11518.3,2695072107,50627.31
30-DEC-2020,11507.05,11521.2,11414.1,11509.65,1868454677,46303.32
29-DEC-2020,11475.25,11506.2,11405.8,11467,2019680021,46747.09
28-DEC-2020,11387.45,11443.45,11386.1,11434.7,1946772582,43042.32
24-DEC-2020,11292.05,11342.45,11245.75,11325.25,2167449058,47241.08
23-DEC-2020,11092.4,11239.6,11062.2,11225.55,2577733180,52267.83
22-DEC-2020,10979.85,11097.3,10791.85,11075.75,2984718026,65464.93
21-DEC-2020,11338.4,11365.55,10787.5,10964.25,2778901674,69748.25
18-DEC-2020,11368.7,11376.7,11263.15,11355,2277338367,64204.27
17-DEC-2020,11347.1,11385.6,11322.75,11346.35,2010454298,54564.25
16-DEC-2020,11299.2,11328.4,11265.8,11320.1,2505621374,57339.49
15-DEC-2020,11212.35,11234.45,11128.4,11223.9,2330267235,55845.87
14-DEC-2020,11223.3,11240.4,11157.65,11215.25,2152360100,50549.26
11-DEC-2020,11172.65,11221.95,11082,11171.4,3056559322,60195.9
10-DEC-2020,11156.9,11156.9,11060.2,11141.35,2666432957,57222.47
09-DEC-2020,11147.55,11201.75,11143.45,11181.2,3173850711,57626.51
08-DEC-2020,11112.6,11136.8,11008.4,11088.65,3179015833,64598.31
07-DEC-2020,10994.15,11078.35,10982.75,11070.25,2437379648,63038.15
04-DEC-2020,10934.65,10990.2,10888.95,10978.85,2681966380,67182.8
03-DEC-2020,10936.75,10936.75,10871.8,10893.6,2734427441,67472.66
02-DEC-2020,10856.25,10866.15,10755.9,10858.15,2782310120,63042.83
01-DEC-2020,10803.25,10850.15,10734.3,10835.15,2708250078,59806.83
27-NOV-2020,10703.25,10751,10670.2,10719.05,4521358657,144321.35
26-NOV-2020,10611.05,10694.75,10531.9,10674.05,2081231455,58109.53
25-NOV-2020,10794.4,10804.1,10556.2,10574.95,2732592059,63753.78
24-NOV-2020,10698.3,10749.35,10686.5,10733.6,2423524030,63133.74
23-NOV-2020,10642.85,10661.25,10567.45,10635.95,2656757191,67314.73
20-NOV-2020,10514.85,10583.75,10456.95,10560.55,2575894539,68455.05
19-NOV-2020,10522.9,10633.15,10453.6,10477.5,2687307622,73318.26
18-NOV-2020,10516.75,10594.95,10491.5,10588.35,2500354034,65628.68
17-NOV-2020,10543.25,10543.85,10459.6,10524,2506791685,64233.1
14-NOV-2020,10470.9,10476.55,10415.95,10440.35,604089340,8601.92
13-NOV-2020,10324.1,10394.15,10293.25,10387.2,1792270638,55479.36
12-NOV-2020,10334.75,10367.85,10294.55,10342.7,2196575093,61167.55
11-NOV-2020,10308.5,10378.05,10233.35,10356.5,2188064608,79448.3
10-NOV-2020,10252.8,10277,10181.65,10269,2334227426,80161.14
09-NOV-2020,10137.3,10183.5,10100.45,10176.35,1683044676,54391.93
06-NOV-2020,9965.05,10044.9,9951.2,10033.5,1791087196,57008.44
05-NOV-2020,9874.35,9941.5,9857.25,9935.35,1733351157,53703.48
04-NOV-2020,9684.1,9778.1,9654.6,9764.6,1508974536,54804.57
03-NOV-2020,9648.65,9715.45,9643,9696.3,1671297247,55990.96
02-NOV-2020,9622.7,9634.15,9524.2,9595.95,1681708430,53161.07
30-OCT-2020,9605.1,9665,9500.7,9581.65,1888022481,48564.91
29-OCT-2020,9557.15,9637.85,9530.25,9593.4,1573369182,47085.22
28-OCT-2020,9773.85,9782.95,9602.75,9632.35,1687601159,53472.56
27-OCT-2020,9674.15,9756.05,9607.6,9748.3,1604881683,57709.62
26-OCT-2020,9794.95,9797.7,9609.2,9647.65,1624386756,47495.1
23-OCT-2020,9794.4,9807.15,9764.55,9780.35,1865194287,47021.55
22-OCT-2020,9726.45,9763.8,9683.8,9745.05,1634025894,51725.18
21-OCT-2020,9780.5,9821.95,9635.3,9756.6,1722901298,56998.7
20-OCT-2020,9699.3,9760.35,9682.3,9733,1573498289,45784.37
19-OCT-2020,9710.95,9717.6,9664.45,9709.3,1622404094,46485.23
16-OCT-2020,9588.8,9635,9536.45,9626.25,1471545501,47535.92
15-OCT-2020,9801.55,9802.9,9535.7,9550.05,1639785694,52563.21
14-OCT-2020,9726.45,9781.25,9657.5,9763.4,1600131402,48347.77
13-OCT-2020,9745.9,9784.8,9715.95,9736.45,1321281564,46815.6
12-OCT-2020,9793.35,9822.95,9698.9,9745.35,1459706393,42909.43
09-OCT-2020,9728.75,9774.75,9691.2,9750.15,1619493419,52977.58
08-OCT-2020,9724.55,9759.3,9674.95,9711.8,1758663740,57940.23
07-OCT-2020,9637.15,9673.3,9593.7,9654.5,1529749738,50132.41
06-OCT-2020,9592.65,9633.35,9564.05,9622.35,1562304293,47182.36
05-OCT-2020,9518.2,9567.55,9476.8,9516.3,1770099661,48569.9
01-OCT-2020,9433.7,9472.4,9423.8,9461.7,1649559208,43616.28
30-SEP-2020,9344.3,9375.85,9292.35,9341.75,1685665154,46250.51
29-SEP-2020,9385.75,9401.8,9286.05,9319.7,1981281501,48277.69
28-SEP-2020,9237.75,9338.7,9212.75,9330.25,1915557560,44898.75
25-SEP-2020,9032.7,9171.15,8985.75,9156.1,2341531045,51814.94
24-SEP-2020,9094.1,9097.4,8933.95,8944.75,2116204067,54542.57
23-SEP-2020,9296.45,9309.05,9106,9194.35,2220359834,53418.58
22-SEP-2020,9339.8,9340.25,9117.95,9213.9,2194132364,57252.6
21-SEP-2020,9565.95,9582.35,9284.75,9313,1873243657,58547.54
18-SEP-2020,9622.15,9626.55,9517.8,9559.5,2203284104,80256.91
17-SEP-2020,9584.55,9624.65,9553.85,9566.75,1466695812,46576.81
16-SEP-2020,9595.75,9640.95,9575,9632.5,1554748379,47813.31
15-SEP-2020,9538.15,9583.2,9515.35,9573.35,2191853679,51135.94
14-SEP-2020,9520,9577.85,9446.85,9493.3,2131830453,60169.63
11-SEP-2020,9424.45,9460.65,9405.15,9446.4,1498525416,48119.95
10-SEP-2020,9359.55,9429.9,9345.6,9420.25,1865344634,55877.8
09-SEP-2020,9250.1,9306.3,9203.5,9290.2,2036835934,51500.36
08-SEP-2020,9400.6,9436.7,9306.25,9329.85,1928517989,47160
07-SEP-2020,9403.45,9420.7,9307.55,9379.1,2722797972,44099.31
04-SEP-2020,9388.35,9476.6,9355.05,9377.95,3338644498,52716.87
03-SEP-2020,9550.35,9567.75,9520.1,9534.65,2952530476,46417.44
02-SEP-2020,9457.65,9534.5,9429.7,9518.4,2007910183,46872.28
01-SEP-2020,9422.45,9479.1,9353.2,9442.25,3778010053,59191.61
31-AUG-2020,9735.7,9747.05,9324.65,9372.05,3863255421,94053.13
28-AUG-2020,9623,9675.9,9614.75,9641.05,4071389917,68906.63
27-AUG-2020,9619.6,9625.65,9568.8,9580.7,2350010846,58477.53
26-AUG-2020,9547.05,9575.2,9508,9567.15,2107106450,58199.44
