"Index Name","Date","Open","High","Low","Close"
"NIFTY 500","31 Mar 2017","7975.05","8005.75","7971.00","7995.05"
"NIFTY 500","30 Mar 2017","7950.00","7983.85","7946.75","7976.90"
"NIFTY 500","29 Mar 2017","7935.65","7950.95","7916.80","7945.30"
"NIFTY 500","28 Mar 2017","7895.30","7919.85","7894.00","7912.10"
"NIFTY 500","27 Mar 2017","7899.75","7900.60","7847.75","7865.30"
"NIFTY 500","24 Mar 2017","7900.50","7926.85","7894.75","7905.30"
"NIFTY 500","23 Mar 2017","7852.05","7895.70","7852.05","7885.70"
"NIFTY 500","22 Mar 2017","7849.65","7861.15","7817.65","7830.10"
"NIFTY 500","21 Mar 2017","7927.50","7933.20","7874.50","7909.20"
"NIFTY 500","20 Mar 2017","7944.90","7945.05","7906.00","7918.60"
"NIFTY 500","17 Mar 2017","7967.70","7974.95","7913.40","7933.10"
"NIFTY 500","16 Mar 2017","7893.50","7931.65","7892.65","7928.55"
"NIFTY 500","15 Mar 2017","7842.15","7869.55","7836.10","7854.75"
"NIFTY 500","14 Mar 2017","7844.30","7864.60","7807.50","7835.65"
"NIFTY 500","10 Mar 2017","7732.50","7751.30","7690.95","7710.90"
"NIFTY 500","09 Mar 2017","7704.05","7731.90","7692.75","7710.00"
"NIFTY 500","08 Mar 2017","7740.95","7745.55","7678.70","7710.95"
"NIFTY 500","07 Mar 2017","7758.75","7758.80","7723.25","7735.30"
"NIFTY 500","06 Mar 2017","7716.15","7749.60","7715.45","7745.40"
"NIFTY 500","03 Mar 2017","7679.10","7703.70","7659.25","7696.20"
"NIFTY 500","02 Mar 2017","7787.95","7793.90","7676.00","7691.65"
"NIFTY 500","01 Mar 2017","7733.30","7769.95","7729.35","7754.70"
"NIFTY 500","28 Feb 2017","7713.40","7729.30","7695.25","7709.10"
"NIFTY 500","27 Feb 2017","7733.30","7746.15","7700.40","7706.50"
"NIFTY 500","23 Feb 2017","7741.60","7762.60","7720.75","7729.65"
"NIFTY 500","22 Feb 2017","7745.10","7756.45","7706.30","7721.60"
"NIFTY 500","21 Feb 2017","7704.40","7735.35","7690.25","7725.25"
"NIFTY 500","20 Feb 2017","7640.10","7694.70","7632.15","7691.85"
"NIFTY 500","17 Feb 2017","7672.80","7681.10","7617.20","7638.00"
"NIFTY 500","16 Feb 2017","7543.30","7602.45","7522.45","7599.45"
"NIFTY 500","15 Feb 2017","7597.40","7613.60","7519.85","7531.60"
"NIFTY 500","14 Feb 2017","7640.60","7640.65","7593.15","7605.05"
"NIFTY 500","13 Feb 2017","7655.30","7660.05","7583.10","7626.95"
"NIFTY 500","10 Feb 2017","7651.90","7656.80","7613.75","7631.25"
"NIFTY 500","09 Feb 2017","7636.30","7660.30","7577.55","7623.60"
"NIFTY 500","08 Feb 2017","7615.15","7630.60","7562.35","7614.75"
"NIFTY 500","07 Feb 2017","7637.55","7638.80","7576.05","7603.20"
"NIFTY 500","06 Feb 2017","7610.80","7638.35","7600.25","7628.10"
"NIFTY 500","03 Feb 2017","7555.70","7578.05","7544.00","7569.90"
"NIFTY 500","02 Feb 2017","7525.45","7564.45","7501.55","7547.10"
"NIFTY 500","01 Feb 2017","7390.55","7520.70","7366.90","7516.05"
"NIFTY 500","31 Jan 2017","7453.80","7455.20","7372.55","7379.30"
"NIFTY 500","30 Jan 2017","7451.70","7473.00","7432.10","7452.15"
"NIFTY 500","27 Jan 2017","7426.85","7483.90","7424.40","7455.15"
"NIFTY 500","25 Jan 2017","7338.90","7424.90","7334.80","7417.70"
"NIFTY 500","24 Jan 2017","7259.80","7319.70","7254.60","7315.25"
"NIFTY 500","23 Jan 2017","7191.40","7251.00","7189.80","7242.55"
"NIFTY 500","20 Jan 2017","7267.10","7281.85","7196.65","7202.75"
"NIFTY 500","19 Jan 2017","7271.95","7295.40","7260.35","7287.75"
"NIFTY 500","18 Jan 2017","7252.25","7299.20","7249.80","7269.00"
"NIFTY 500","17 Jan 2017","7255.70","7276.05","7227.00","7243.65"
"NIFTY 500","16 Jan 2017","7224.00","7255.65","7209.30","7247.95"
"NIFTY 500","13 Jan 2017","7268.95","7271.00","7202.95","7228.30"
"NIFTY 500","12 Jan 2017","7225.35","7244.20","7209.10","7231.85"
"NIFTY 500","11 Jan 2017","7163.90","7220.35","7160.35","7214.15"
"NIFTY 500","10 Jan 2017","7108.35","7136.05","7106.45","7132.20"
"NIFTY 500","09 Jan 2017","7099.55","7101.75","7076.85","7085.15"
"NIFTY 500","06 Jan 2017","7119.05","7140.25","7073.50","7083.10"
"NIFTY 500","05 Jan 2017","7063.15","7112.60","7061.80","7106.90"
"NIFTY 500","04 Jan 2017","7042.25","7058.60","7024.20","7030.75"
"NIFTY 500","03 Jan 2017","7019.00","7048.00","6989.00","7028.75"
"NIFTY 500","02 Jan 2017","7007.40","7014.15","6955.45","7002.50"
"NIFTY 500","30 Dec 2016","6931.85","6993.40","6928.85","6982.80"
"NIFTY 500","29 Dec 2016","6846.80","6920.90","6839.80","6915.45"
"NIFTY 500","28 Dec 2016","6849.45","6902.00","6839.90","6847.40"
"NIFTY 500","27 Dec 2016","6730.90","6840.85","6711.65","6832.00"
"NIFTY 500","26 Dec 2016","6800.20","6801.80","6720.25","6724.45"
"NIFTY 500","23 Dec 2016","6814.05","6850.90","6779.20","6814.90"
"NIFTY 500","22 Dec 2016","6883.40","6883.90","6806.10","6816.35"
"NIFTY 500","21 Dec 2016","6929.75","6933.85","6889.70","6896.00"
"NIFTY 500","20 Dec 2016","6948.90","6960.10","6892.80","6908.10"
"NIFTY 500","19 Dec 2016","6973.05","6973.50","6936.55","6943.35"
"NIFTY 500","16 Dec 2016","7009.40","7009.55","6965.60","6976.50"
"NIFTY 500","15 Dec 2016","6957.45","7047.35","6953.10","6989.25"
"NIFTY 500","14 Dec 2016","7053.90","7053.90","6999.20","7004.65"
"NIFTY 500","13 Dec 2016","7040.50","7050.20","7007.65","7045.35"
"NIFTY 500","12 Dec 2016","7083.10","7083.10","7009.25","7023.20"
"NIFTY 500","09 Dec 2016","7111.75","7112.25","7085.20","7101.15"
"NIFTY 500","08 Dec 2016","7015.80","7094.20","7014.75","7089.25"
"NIFTY 500","07 Dec 2016","7026.60","7037.75","6948.95","6971.20"
"NIFTY 500","06 Dec 2016","7007.15","7030.35","6994.05","7001.60"
"NIFTY 500","05 Dec 2016","6951.80","6993.60","6929.45","6984.25"
"NIFTY 500","02 Dec 2016","7005.50","7008.65","6934.85","6947.30"
"NIFTY 500","01 Dec 2016","7099.60","7103.80","7034.65","7040.25"
"NIFTY 500","30 Nov 2016","7030.25","7085.80","7009.65","7079.40"
"NIFTY 500","29 Nov 2016","6993.50","7048.70","6991.55","7003.60"
"NIFTY 500","28 Nov 2016","6940.00","7000.95","6929.20","6983.40"
"NIFTY 500","25 Nov 2016","6873.90","6966.45","6849.75","6960.75"
"NIFTY 500","24 Nov 2016","6863.25","6879.30","6820.15","6837.50"
"NIFTY 500","23 Nov 2016","6881.20","6890.15","6817.35","6882.65"
"NIFTY 500","22 Nov 2016","6811.75","6850.40","6764.25","6835.30"
"NIFTY 500","21 Nov 2016","6934.35","6934.35","6751.15","6761.55"
"NIFTY 500","18 Nov 2016","6920.55","6943.55","6873.05","6908.50"
"NIFTY 500","17 Nov 2016","6928.45","6966.50","6884.85","6903.45"
"NIFTY 500","16 Nov 2016","7002.00","7014.25","6897.75","6928.10"
"NIFTY 500","15 Nov 2016","7120.90","7122.20","6902.90","6916.45"
"NIFTY 500","11 Nov 2016","7280.45","7284.75","7112.55","7126.50"
"NIFTY 500","10 Nov 2016","7358.05","7408.80","7329.90","7342.30"
"NIFTY 500","09 Nov 2016","6924.95","7276.70","6829.80","7247.45"
"NIFTY 500","08 Nov 2016","7366.35","7377.60","7314.25","7366.05"
"NIFTY 500","07 Nov 2016","7360.75","7366.95","7317.85","7330.95"
"NIFTY 500","04 Nov 2016","7359.70","7359.90","7245.50","7274.10"
"NIFTY 500","03 Nov 2016","7382.75","7420.00","7335.75","7344.10"
"NIFTY 500","02 Nov 2016","7433.55","7433.55","7383.30","7391.40"
"NIFTY 500","01 Nov 2016","7525.25","7539.10","7491.80","7502.20"
"NIFTY 500","30 Oct 2016","7528.65","7533.60","7493.95","7501.45"
