broker,activeClients
Groww,13059756
Zerodha,6847049
Angel One,6684223
ICICI Securities,2105295
Upstox,1923729
SBI Securities,1140808
Dhan,1061986
Motilal Oswal,893172
Paytm Money,846460
INDmoney,692975
