broker,activeClients
__market_total__,45450000
Groww,13053752
Zerodha,6801078
Angel One,6633833
ICICI Securities,2121076
Upstox,1887312
Kotak Securities,1379677
HDFC Securities,1344282
SBI Securities,1117736
Dhan,1073293
Motilal Oswal,898736
Paytm Money,826579
INDmoney,699103
